id,nome,categoria,quantidadeAtual,quantidadeMinima,unidade,local,data,createdAt,updatedAt
76f6120c-ca71-44cb-9,Refletor IP66 6500K branco frio bivolt,Elétrica,13,2,un,,2026-07-24,2026-07-24,2026-07-24
2cceaf4f-6d1b-418c-a,Lâmpada 100W bivolt 127/220V,Elétrica,1,1,un,,2026-07-24,2026-07-24,2026-07-24
cdb8740f-8990-4af0-a,Placa 4x2,Elétrica,10,2,un,,2026-07-24,2026-07-24,2026-07-24
2753eacf-ce8d-43db-b,Central de cerca elétrica,Segurança/Elétrica,2,1,un,,2026-07-24,2026-07-24,2026-07-24
68d8a244-0417-4ca1-9,Fita veda rosca,Hidráulica,82,10,un,,2026-07-24,2026-07-24,2026-07-24
1bb9956c-6a14-42af-a,"Disco corte inox 180x1.6 - ( 7 polegadas de diâmetro e 1,6 mm de espessura)",Construção,48,10,un,,2026-07-24,2026-07-24,2026-07-24
91c3befd-3bc2-4934-b,Disco de desbaste - 4.1/2 polegadas (115 mm),Construção,50,10,un,,2026-07-24,2026-07-24,2026-07-24
492bc36e-5fc4-4bda-a,Disjuntor 1x16A,Elétrica,1,1,un,,2026-07-24,2026-07-24,2026-07-24
7ac50fd3-f325-4aba-8,Disjuntor 1x25A,Elétrica,1,1,un,,2026-07-24,2026-07-24,2026-07-24
eadb5aa2-e22a-42a5-a,Disjuntor 10A,Elétrica,2,1,un,,2026-07-24,2026-07-24,2026-07-24
89a49e24-2629-4fb6-b,Disjuntor C25,Elétrica,15,5,un,,2026-07-24,2026-07-24,2026-07-24
f5685d1c-770c-490d-9,DPS T2 - (Dispositivo de Proteção contra Surtos de Classe 2),Elétrica,6,2,un,,2026-07-24,2026-07-24,2026-07-24
920e6450-837f-46a3-9,Fechadura interna porta soprana,Construção,6,1,un,,2026-07-24,2026-07-24,2026-07-24
d5d11734-1555-4ec4-8,Fechadura WC porta soprana,Construção,3,1,un,,2026-07-24,2026-07-24,2026-07-24
434573aa-6669-477e-9a71-d16536a24f61,Fusível 20A,Elétrica,7,1,un,,,,
c03c8734-d5da-4f1c-a70a-b1e5edc17d05,Fechadura de banheiro,Construção,3,1,un,,,,
864f9069-6850-4b1c-95f2-fcbc7feef964,Fechadura interna,Construção,6,1,un,,,,
5f767ecc-aea9-458d-9910-fd705821e68b,Esteio diversos,Construção,1,1,cx,,,,
601b57cf-5f0d-4783-8394-8ebde3753848,Pá limpa-vidro 11 polegadas p/ caminhão 14000,Automotivo,1,1,un,,,,
db1af47f-1993-48fe-9231-7c8b7ed72f80,Plafons c/ bocal,Elétrica,100,10,un,,,,
e1fc6d9c-0418-4490-9232-c196f888568c,Suporte 90° de pivô 23cm cabo azul,Elétrica,30,10,un,,,,
3a353ec2-f157-420e-a2ba-fb6f16bd6e7b,Suporte 90° de pivô 23cm cabo preto,Elétrica,11,10,un,,,,
888c0f96-58d1-4c38-843d-d407f40f822f,Suporte 90° de pivô 23cm cinza pergameno,Elétrica,5,1,un,,,,
fb668a6b-52b6-4675-858c-868ba94d4436,Mio de scaria,,3,1,un,,,,
d6b09687-8686-4c32-95f9-6db40fd62067,Disco de desbaste 7 polegadas,Construção,54,10,un,,,,
508bbee4-aa10-4705-9396-3d51d1c6515c,Espuma grafite,Construção,24,10,un,,,,
8210a6ca-244f-4edd-9683-9b734518cf1f,Tubo de cola PVC,Hidráulica,122,10,un,,,,
cbd60682-f61c-489f-974c-e16e5b28ff87,Armação curta 25mm x 3/4 polegadas,Hidráulica,90,10,un,,,,
bbdfec97-fc09-4525-8e57-855be71659b1,Luva 25mm,Hidráulica,200,10,un,,,,
3f205877-3d91-43ae-b263-93273d4bb395,Joelho lateral 25mm x 1/2 polegadas rosca,Hidráulica,150,10,un,,,,
78e133f7-8c24-44f7-aaa4-ed0e78b9f0a4,Joelho 3/4 polegadas,Hidráulica,200,10,un,,,,
4ced635a-0403-47be-ab86-6f3eeef2c3ca,Disjuntor tripolar 32A,Elétrica,9,1,un,,,,
b832e72f-52a7-4092-b261-f7fd86130e0b,Disjuntor tripolar 63A,Elétrica,13,10,un,,,,
988d47ab-d75e-40fa-8112-d1fd079041b8,Disjuntor bipolar 32A,Elétrica,16,10,un,,,,
0d26f7f8-8ffb-4922-bf07-a7075d79868f,Disjuntor bipolar 16A,Elétrica,23,10,un,,,,
62780823-4a26-4951-be80-f76e321db78c,Disjuntor bipolar 10A,Elétrica,16,10,un,,,,
367a6558-7fb7-4199-97ec-fcad5feb97fc,Disjuntor tripolar 16A,Elétrica,2,1,un,,,,
09ec42d3-91e9-4076-93be-57594c9e80e4,Módulo p/ acionamento eletrônico,Elétrica,7,1,un,,,,
11a090e7-13e7-4621-b1b3-0afcb37407e5,Fio de alimentação 12V,Elétrica,13,10,un,,,,
17e5addb-757d-495f-8ab0-8fc9f838090c,Lâmpada LED varetinha 15W,Elétrica,1,1,un,,,,
bd398ad7-0a17-4953-a4e2-99aad1298e44,Luminária emergência,Elétrica,1,1,un,,,,
5c8c6559-b1d0-43bd-948c-d1291e8ed037,Cânin c/ interrupedano,Elétrica,4,1,un,,,,
096a9b33-a67b-42af-82f5-42ae45e38920,Plug de tomada macho 20A,Elétrica,15,10,un,,,,
e35f293b-b34c-45e5-b9f0-613b81aa5663,Plug de tomada fêmea 20A,Elétrica,15,10,un,,,,
1be252a7-7804-438c-9240-403cdf3e83fe,Adaptador bainha p/ cabo de gração,Elétrica,9,1,un,,,,
ff7946da-215d-42d1-ad48-d85b7db059a2,"Fita aluminizada 45mm x 4,5m",Construção,6,1,un,,,,
feb43f39-ec7c-4845-93d4-d4a4745ee7c8,Cortador de tubo de cobre,Hidráulica,1,1,un,,,,
d042a1d1-b2f1-4e69-9dfa-d383074105f4,Fita PVC 10x18cm,Hidráulica,9,1,un,,,,
1c3f9c89-b7f7-4be8-9326-de8222097efe,Reforço de torneira Sima rebitado,Hidráulica,100,10,un,,,,
e54f5d1b-90c7-4fea-97fb-8f03573dc79c,Tapeton articular,Automotivo,4,1,un,,,,
03e12d56-1797-4000-9d73-72ca675338c6,Par de novo cunhador,Construção,1,1,un,,,,
cce02b0b-1f45-4081-b12c-9b84ecb17c77,Papel auto-abrasivo 4x13,Construção,4800,10,un,,,,
db7321b6-fcf4-4a61-96fb-1586c191a8ac,Disco de corte planejado 230x20cm,Construção,2,1,un,,,,
4e0f697d-6ca8-4732-9310-0b4d8c404bae,Lâmina de aço de serra,Construção,42,10,un,,,,
1a333753-95c8-4817-a4b1-ea68a9e071e8,Rolo cabo flex 10mt 6mm² branco,Elétrica,9,10,un,,,,
86fdbcf0-792a-40a1-8d8a-c070f560ead4,Rolo cabo flex 10mt 6mm² preto,Elétrica,9,10,un,,,,
e6b81f24-56dd-4a26-98dd-aa151ad6cefc,Rolo cabo flex 10mt 6mm² azul,Elétrica,7,1,un,,,,
f3038fcc-782d-4262-b8d4-c0839f29945c,Rolo cabo flex 10mt 6mm² vermelho,Elétrica,10,10,un,,,,
3f73825b-7186-415a-a55d-dccd10d51118,"Rolo cabo flex 10mt 2,5mm² preto",Elétrica,41,10,un,,,,
2e396a2c-2665-4b51-8820-eed400785c87,"Rolo cabo flex 10mt 4,0mm² azul",Elétrica,4,1,un,,,,
0f7890cc-17bc-41d6-9349-72ab55fccd95,"Rolo cabo flex 10mt 4,0mm² verde",Elétrica,7,1,un,,,,
a407790f-3ec7-4460-8a46-a5aa2196ad9b,"Rolo cabo flex 10mt 2,5mm² branco",Elétrica,8,1,un,,,,
7b3c97ea-0ddc-4445-b46e-cd9886abf9d7,"Rolo cabo flex 10mt 2,5mm² vermelho",Elétrica,43,10,un,,,,
1159c46a-38e1-4e35-8884-9c8e66da106c,"Rolo cabo flex paralelo 2x2,5mm² branco",Elétrica,100,10,un,,,,
1428cd68-d960-44c9-9c7d-8fed429c471f,Placa 4x2 1 posto horizontal + suporte,Elétrica,35,10,un,,,,
bf113a1d-f3d0-4b3f-b372-2b7ca4e3ca87,Disjuntor bipolar 25A,Elétrica,15,10,un,,,,
81d26a0a-db7d-4619-9d95-c85ad48a05ec,DPS - dispositivo protetor de surto,Elétrica,10,10,un,,,,
78eff7e7-7920-4c5f-90f8-fa0be3b9895f,Caixas c/ 10x tomadas 2P+T 10A,Elétrica,20,10,un,,,,
7b695a1b-dd5e-496d-ad99-fdc1437360e8,Tomadas soquete porcelana 10A,Elétrica,320,10,un,,,,
445b43c9-cf3d-4ebc-ab30-8a5df733c4be,Lanternins 3 postos,Elétrica,23,10,un,,,,
b41fe200-a670-4fa2-8b80-047521a54bd3,Lanternim 1 posto vertical,Elétrica,75,10,un,,,,
7e214b26-7952-48b4-afd7-5aa84cd02222,Tomadas c/ placa 20A,Elétrica,11,10,un,,,,
